AGE,GENDER,MARRIED,EVENT_ATTENDED,DONOR
61,Female,0,No,0
58,Male,0,No,0
57,Female,0,No,0
68,Male,1,No,0
57,Male,0,No,0
67,Female,0,No,0
69,Male,0,Yes,1
56,Male,0,No,0
54,Female,0,No,0
60,Female,1,No,0
55,Female,1,Yes,0
54,Female,0,No,0
75,Male,1,No,0
57,Male,0,No,0
65,Male,0,No,1
68,Female,0,No,0
58,Female,1,No,0
66,Female,0,No,0
70,Male,0,No,0
57,Male,0,No,0
80,Female,0,No,0
56,Female,0,No,0
61,Male,0,No,0
60,Male,1,Yes,0
64,Female,0,Yes,0
54,Female,0,No,0
60,Female,1,No,0
68,Female,1,Yes,0
62,Female,1,No,0
58,Male,0,No,0
0,Male,0,No,0
94,Female,0,No,0
93,Male,0,No,1
68,Male,1,No,0
59,Female,1,No,0
64,Male,1,No,0
59,Male,0,No,0
72,Female,0,Yes,0
0,Male,0,No,0
53,Female,0,No,0
60,Female,0,No,0
90,Female,1,No,0
82,Female,0,No,0
58,Female,0,No,0
61,Female,0,No,0
55,Female,0,No,0
55,Female,0,No,0
79,Female,0,No,0
66,Male,0,No,1
58,Male,0,No,0
56,Female,0,No,0
62,Male,0,No,0
54,Female,0,No,0
0,Male,0,No,0
60,Female,0,No,0
67,Male,0,No,0
67,Female,0,No,0
55,Male,1,Yes,0
53,Female,0,No,0
57,Female,1,No,1
51,Female,0,No,0
60,Female,0,No,1
51,Female,0,No,0
50,Female,1,No,0
51,Female,0,No,0
56,Female,1,Yes,0
67,Male,1,Yes,0
58,Male,0,Yes,0
72,Female,0,No,0
88,Female,0,No,0
0,Female,0,No,0
90,Male,0,No,0
88,Female,1,No,1
55,Female,1,No,1
56,Female,0,No,1
57,Male,0,No,0
53,Female,0,No,0
62,Female,1,No,0
64,Female,0,No,0
51,Female,0,No,0
65,Female,0,No,0
63,Female,1,No,0
78,Female,0,No,0
92,Male,0,No,0
0,Female,1,No,0
50,Female,0,No,0
49,Female,1,No,0
59,Female,0,No,0
66,Female,0,No,0
52,Female,0,No,0
59,Female,0,No,0
64,Female,1,No,0
49,Female,1,No,0
49,Female,0,No,0
89,Male,0,No,0
92,Female,1,No,0
85,Male,1,No,0
0,Female,0,No,0
0,Female,1,No,0
94,Male,1,Yes,1
92,Female,1,No,1
49,Female,0,No,0
63,Male,0,No,0
52,Female,1,No,1
71,Male,0,No,0
52,Male,0,No,0
54,Female,1,No,0
66,Female,1,No,0
0,Female,0,No,0
109,Male,1,Yes,0
83,Female,0,No,0
48,Female,0,No,0
51,Male,0,No,0
54,Female,0,No,0
52,Female,1,No,1
60,Female,1,No,0
51,Female,1,No,0
50,Female,0,No,0
51,Female,0,No,0
89,Male,1,No,1
93,Male,0,No,1
0,Female,0,No,1
48,Female,0,No,0
49,Female,0,No,0
49,Female,0,No,0
48,Female,0,No,0
48,Female,0,No,0
49,Female,0,No,0
54,Female,1,No,0
65,Female,1,Yes,0
60,Female,1,No,0
0,Female,0,No,1
0,Male,0,No,0
